stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
104432,104432,"GERBEVILLER TER Gambetta",,48.4976959,6.5119405,,,1,,,
44979,5400884A,"GERBEVILLER TER Gambetta",,48.4976319,6.511982,,,0,104432,,
44980,5400885A,"GERBEVILLER TER Gambetta",,48.4977599,6.511899,,,0,104432,,
104433,104433,"GERBEVILLER Barbé",,48.4914529,6.515439,,,1,,,
46229,5404779A,"GERBEVILLER Barbé",,48.4914529,6.515439,,,0,104433,,
104434,104434,"GERBEVILLER Gare",,48.4932249,6.509605,,,1,,,
46228,5404778A,"GERBEVILLER Gare",,48.4932249,6.509605,,,0,104434,,
104436,104436,"RAMBERVILLERS Avenue  du 11 novembre",,48.3336694,6.636342,,,1,,,
46233,5404784A,"RAMBERVILLERS Avenue  du 11 novembre",,48.3336079,6.636366,,,0,104436,,
104437,104437,"ROVILLE-AUX-CHENES Lycée - Place du Calvaire",,48.3845339,6.60476,,,1,,,
46230,5404781A,"ROVILLE-AUX-CHENES Lycée - Place du Calvaire",,48.3845339,6.60476,,,0,104437,,
105421,105421,"BASLIEUX Abri Bus",,49.4335093,5.7577461,,,1,,,
44562,5400056A,"BASLIEUX Abri Bus",,49.4336013,5.7573491,,,0,105421,,
44563,5400057A,"BASLIEUX Abri Bus",,49.4334173,5.7581431,,,0,105421,,
105422,105422,"LONGLAVILLE LP Reiser",,49.5278703,5.7957861,,,1,,,
46235,5404791A,"LONGLAVILLE LP Reiser",,49.5278703,5.7957861,,,0,105422,,
105427,105427,"THIAVILLE-SUR-MEURTHE Bas de Fagnoux",,48.4115159,6.797486,,,1,,,
45177,5401136A,"THIAVILLE-SUR-MEURTHE Bas de Fagnoux",,48.4115159,6.797486,,,0,105427,,
105428,105428,"THIAVILLE-SUR-MEURTHE - THIAVILLE-SUR-MEURTHE LES HAYOTTES",,48.4078899,6.79164,,,1,,,
46237,5404794A,"THIAVILLE-SUR-MEURTHE - THIAVILLE-SUR-MEURTHE LES HAYOTTES",,48.4078899,6.79164,,,0,105428,,
106007,106007,"Valcourt bis",,48.6623029,5.8885591,,,1,,,
46033,5403042A,"TOUL STAT Valcourt",,48.6622589,5.8885311,,,0,106007,,
126670,126670,"RAON-L'ETAPE Collége",,48.4026829,6.830509,,,1,,,
46018,5402478A,"RAON-L'ETAPE Collége",,48.4026829,6.830509,,,0,126670,,
127922,127922,"NANCY Mulhouse rue Mouilleron",,48.6850919,6.1792821,,,1,,,
45589,5401702A,"NANCY Mulhouse rue Mouilleron",,48.6850919,6.1792821,,,0,127922,,
127923,127923,"VILLECEY-SUR-MAD Rue de la Gare",,49.0071922,5.9582001,,,1,,,
44764,5400612A,"VILLECEY-SUR-MAD Rue de la Gare",,49.0071922,5.9582001,,,0,127923,,
128192,128192,"J. Monod",,48.6197129,6.1698821,,,1,,,
46152,5404546A,"LUDRES Collége",,48.6197129,6.1698821,,,0,128192,,
128231,128231,"Gentilly",,48.6951414,6.139004,,,1,,,
45583,5401696A,"NANCY STAN Gentilly",,48.6953399,6.1394061,,,0,128231,,
45584,5401697A,"NANCY STAN Gentilly",,48.6948889,6.1382781,,,0,128231,,
128232,128232,"Georges de la Tour",,48.691279,6.1385108,,,1,,,
45587,5401700A,"NANCY Stan Beauregard -Lycée de La Tour",,48.6911999,6.1385641,,,0,128232,,
128242,128242,"Pierson",,48.7030775,6.1752966,,,1,,,
46022,5402819A,"NANCY Pierson",,48.7030989,6.1753051,,,0,128242,,
128252,128252,"Collège Goncourt",,48.7064637,6.2612418,,,1,,,
45653,5401800A,"PULNOY Collège",,48.7066299,6.261405,,,0,128252,,
128271,128271,"Groupe Scolaire",,48.6953849,6.2134091,,,1,,,
45732,5401891A,"TOMBLAINE Lycées",,48.6953849,6.2134091,,,0,128271,,
128283,128283,"Doyen Roubault",,48.6565436,6.1547496,,,1,,,
46136,5404385A,"VANDOEUVRE-LES-NANCY STAN Doyen Roubault",,48.6557129,6.1540321,,,0,128283,,
128302,128302,"Castelnau",,48.6766929,6.1545764,,,1,,,
46213,5404733A,"VILLERS-LES-NANCY Castelnau",,48.6767829,6.1548651,,,0,128302,,
46214,5404734A,"VILLERS-LES-NANCY Castelnau",,48.6766419,6.1543231,,,0,128302,,
128305,128305,"Joseph Laurent",,48.6683566,6.1614035,,,1,,,
45746,5401908A,"VANDOEUVRE-LES-NANCY - VANDOEUVRE-LES-NANCY STAN Joseph Laurent",,48.6684079,6.1621841,,,0,128305,,
45747,5401909A,"VANDOEUVRE-LES-NANCY - VANDOEUVRE-LES-NANCY STAN Joseph Laurent",,48.6684469,6.1617241,,,0,128305,,
128474,128474,"VITREY Arrêt du Patis",,48.4871179,6.0450866,,,1,,,
45790,5401976A,"VITREY Arrêt du Patis",,48.4873479,6.0449441,,,0,128474,,
